Code,Language,Tokens (M),Size (GB),Bytes/token
En,English,55608,300.8,5.409293627
Ru,Russian,23408,278.0,11.87628161
Vi,Vietnamese,24757,137.3,5.545906208
Jaa,Japanese,530,69.3,130.754717
De,German,10297,66.6,6.467903273
Ro,Romanian,10354,61.4,5.930075333
Fr,French,9780,56.8,5.807770961
Fi,Finnish,6730,54.3,8.068350669
Ko,Korean,5644,54.2,9.603118356
Es,Spanish,9374,53.3,5.685939834
Zh,Chinese (Sim),259,46.9,181.0810811
It,Italian,4983,30.2,6.060606061
Nl,Dutch,5025,29.3,5.830845771
Ar,Arabic,2869,28.0,9.759498083
Tr,Turkish,2736,20.9,7.638888889
Hi,Hindi,1715,20.2,11.77842566
Cs,Czech,2498,16.3,6.525220176
Lt,Lithuanian,1835,13.7,7.465940054
Lv,Latvian,1198,8.8,7.34557596
Kk,Kazakh,476,6.4,13.44537815
Et,Estonian,843,6.1,7.236061684
Ne,Nepali,237,3.8,16.03375527
Si,Sinhala,243,3.6,14.81481481
Gu,Gujarati,140,1.9,13.57142857
My,Burmese,56,1.6,28.57142857
